46 972
24 20 18
20 5 10
17 26 49
30 3 29
26 8 47
7 27 12
26 1 30
2 33 72
40 29 40
17 40 94
25 4 12
15 30 18
14 35 44
42 1 96
28 2 67
37 27 54
36 26 47
8 15 75
35 36 69
17 8 94
32 42 5
11 5 57
28 11 51
16 33 26
26 4 93
13 45 70
35 20 87
4 29 62
29 10 87
6 44 57
19 15 74
30 11 39
32 34 69
28 35 96
20 46 59
34 43 9
11 46 81
22 14 22
28 3 23
17 22 27
43 12 4
42 5 47
24 45 55
20 42 1
15 5 77
44 27 76
8 38 25
4 43 39
18 28 56
40 14 75
15 28 61
40 18 44
16 3 16
34 33 36
19 3 27
25 24 84
6 30 54
34 9 100
29 45 66
3 35 51
17 21 39
12 4 23
40 16 31
29 3 99
39 28 58
7 3 34
28 12 63
3 8 46
42 29 29
12 37 58
19 10 13
20 34 20
23 2 2
21 27 53
28 17 17
31 7 71
39 33 23
7 17 65
1 24 40
20 44 33
4 11 16
38 20 73
17 32 42
22 29 45
30 39 32
21 43 80
15 13 51
14 25 86
22 24 95
35 45 60
43 11 59
20 33 61
13 35 89
6 26 61
2 46 7
30 17 72
15 40 56
36 13 81
2 26 3
29 33 9
37 28 51
11 29 42
39 38 2
44 33 44
7 4 86
40 19 95
22 8 97
21 22 25
5 38 27
13 32 57
5 26 37
40 46 28
10 4 85
42 22 92
30 13 5
11 6 90
15 27 22
16 32 60
24 3 7
21 38 35
12 35 25
35 16 96
30 37 95
31 40 80
26 42 68
41 13 27
22 38 68
1 16 46
43 32 80
27 16 73
5 30 9
40 7 96
29 39 50
18 37 44
2 8 77
25 17 5
45 38 5
18 19 73
8 34 4
26 41 1
14 10 31
31 29 67
36 27 42
37 6 87
10 36 80
2 29 47
19 28 22
10 16 74
43 40 61
34 37 79
6 42 87
9 18 40
8 23 24
28 40 88
15 31 99
12 10 77
31 36 54
7 1 49
37 33 97
17 46 35
21 11 39
17 35 65
22 3 34
30 19 46
27 5 93
12 46 82
1 14 21
40 20 18
21 31 64
32 44 79
13 18 100
45 1 95
30 33 22
13 21 56
20 14 85
12 16 31
4 14 79
1 11 19
21 28 2
6 35 60
25 37 86
10 5 8
16 29 47
5 36 98
9 4 22
18 4 32
35 23 47
22 7 31
32 28 37
9 41 65
39 10 82
18 34 20
10 33 44
19 6 84
1 12 74
7 34 30
12 33 98
29 43 94
25 33 31
13 37 95
46 34 82
7 13 32
36 33 75
25 1 60
8 14 51
3 45 9
31 12 70
5 35 93
23 20 92
25 23 2
36 46 88
12 7 25
16 30 97
14 24 98
8 45 23
21 44 73
46 26 4
14 43 99
6 1 64
39 9 54
42 38 13
46 29 9
31 6 63
11 10 32
13 27 34
11 8 24
15 25 67
32 24 88
29 13 34
42 11 80
5 29 50
7 38 15
35 44 73
25 32 37
14 26 73
18 16 39
6 15 57
27 4 49
15 42 13
3 1 97
2 18 49
30 28 74
21 19 79
37 31 93
42 10 62
6 21 81
43 17 97
36 16 59
22 28 11
29 34 46
27 38 28
41 16 20
32 38 98
39 40 80
31 14 20
13 31 28
1 34 13
2 9 77
2 10 75
6 38 75
9 25 20
34 13 78
20 11 3
34 4 30
19 38 39
14 27 20
46 32 43
6 17 92
17 19 87
46 42 1
14 13 89
16 5 80
44 29 1
9 24 53
13 5 72
31 8 91
24 21 5
15 2 22
40 22 82
28 34 33
25 40 74
44 46 91
36 45 74
30 45 32
19 39 92
23 45 30
12 3 65
23 13 34
5 18 20
14 23 43
4 36 63
26 33 32
4 15 18
25 36 56
17 18 73
39 18 53
13 8 82
35 29 31
26 45 36
37 14 46
34 5 17
8 28 11
9 37 84
29 17 55
19 35 21
42 13 19
24 4 6
41 33 38
3 38 97
34 15 12
43 33 4
34 41 69
46 7 28
42 21 59
9 32 95
39 25 55
27 19 58
7 37 42
8 44 64
20 9 15
13 46 44
15 11 52
30 42 58
19 24 31
32 45 6
5 3 35
2 4 94
39 12 67
23 5 56
4 6 20
39 21 48
5 45 54
14 12 22
18 27 85
13 25 52
43 37 13
41 3 88
9 31 4
28 6 97
32 37 43
17 20 1
43 35 60
43 30 92
2 16 9
40 13 50
19 2 80
13 2 4
37 17 100
45 31 100
31 5 3
42 37 98
31 39 6
26 22 12
4 19 79
43 44 11
40 10 76
8 25 100
7 36 7
44 5 67
1 9 66
23 3 88
18 43 82
9 7 64
19 33 12
5 6 94
23 34 4
29 26 95
36 3 91
36 1 6
16 15 19
17 2 17
30 14 33
44 23 80
23 42 87
39 5 74
17 14 83
32 29 10
28 5 70
22 15 67
6 8 16
30 20 88
22 4 28
44 13 18
20 13 43
36 15 49
36 24 35
19 20 35
43 26 69
42 8 25
38 43 79
20 41 4
43 3 34
28 43 55
23 9 41
31 4 91
12 18 36
6 3 13
7 33 91
41 44 39
15 46 94
5 37 64
2 25 63
19 22 61
46 10 22
17 44 85
36 20 76
37 29 85
37 3 6
18 10 89
42 40 1
39 7 94
28 1 69
39 15 46
22 46 21
41 40 18
37 44 82
13 22 6
41 6 31
6 13 55
22 33 68
3 26 89
29 23 94
11 25 9
8 18 78
45 28 26
35 4 2
45 14 30
40 23 71
9 10 50
20 43 40
21 3 81
37 21 47
4 1 52
27 30 83
6 16 33
31 18 46
25 5 20
4 46 61
39 45 63
22 9 91
38 41 58
9 46 14
8 37 35
19 12 93
2 3 1
45 10 47
1 21 14
23 32 68
18 24 92
35 33 5
44 22 44
26 13 17
46 33 35
41 8 47
20 2 12
13 38 26
38 9 71
4 16 47
1 44 81
43 25 55
24 16 79
37 46 77
4 38 37
14 34 48
45 37 85
24 34 2
37 20 34
9 14 85
10 23 8
18 44 88
17 24 79
41 25 57
26 7 68
41 2 99
30 38 50
14 7 9
41 17 85
41 43 87
3 4 99
2 5 76
28 38 85
22 11 27
7 8 70
35 21 8
22 23 25
24 43 59
12 6 21
41 23 66
41 32 74
3 40 83
8 9 29
37 40 43
28 14 64
16 25 94
18 23 65
12 15 31
7 11 30
40 24 31
29 36 81
3 9 14
22 1 37
32 1 40
32 33 48
41 35 5
42 17 92
42 39 73
15 35 22
46 14 96
39 3 94
18 25 96
12 25 63
8 32 27
5 17 24
16 8 48
38 14 68
11 9 28
30 35 51
14 29 7
40 8 2
21 33 42
13 3 80
37 24 7
15 32 32
7 23 92
25 35 90
45 12 31
31 33 71
2 39 13
4 8 71
38 46 76
39 34 99
19 16 25
14 44 26
3 42 14
5 7 37
44 40 55
15 44 90
20 10 85
8 35 52
18 20 96
9 13 10
37 16 30
25 22 5
22 2 63
14 3 49
26 18 8
22 37 48
44 39 46
10 28 22
11 36 61
3 33 14
42 33 27
46 5 65
25 6 63
23 12 82
29 12 90
39 36 39
19 41 67
41 28 77
24 46 72
31 44 80
1 41 30
34 36 62
34 45 5
31 27 83
18 45 89
30 32 76
11 3 29
17 3 63
1 15 71
1 13 47
39 24 44
12 32 59
45 22 34
46 19 39
46 28 72
46 31 15
11 13 37
36 23 24
25 28 65
36 2 72
13 43 67
1 40 93
9 29 34
19 5 52
35 38 26
45 9 100
34 19 90
20 21 69
26 38 70
5 21 76
41 27 100
23 4 56
34 27 66
26 10 88
39 17 52
23 30 3
42 14 72
45 25 40
36 12 63
38 1 34
16 9 63
18 38 58
43 7 22
39 26 56
27 20 30
35 32 10
12 17 79
18 6 8
45 11 38
44 26 28
2 40 90
2 32 55
24 30 91
16 28 85
24 11 15
9 44 29
36 42 96
8 5 48
9 12 43
45 16 63
12 20 80
7 32 68
4 40 29
25 42 28
27 39 38
15 21 43
2 1 23
5 22 15
20 7 67
9 43 99
40 9 34
29 30 93
41 45 92
11 17 87
8 12 54
21 2 49
14 5 34
28 44 68
31 19 93
31 38 81
12 44 25
44 24 48
12 24 23
4 33 38
27 11 10
42 41 52
45 7 81
16 14 38
13 17 30
41 22 82
23 11 13
40 35 49
25 38 52
44 10 40
5 24 60
11 16 52
45 21 89
45 40 59
37 36 60
32 22 69
23 38 91
20 45 77
24 33 26
21 32 43
12 22 37
17 9 72
38 40 26
28 27 88
6 36 96
41 15 92
23 21 3
16 42 87
45 44 18
42 4 62
29 19 58
36 32 26
35 26 5
20 6 57
44 16 19
31 22 72
45 19 60
22 35 13
15 24 87
18 7 2
21 10 59
43 5 27
11 18 5
25 20 17
1 27 86
2 38 70
16 46 9
14 39 48
28 29 91
39 41 41
25 19 5
38 34 90
46 25 3
43 42 40
11 34 25
42 34 97
39 35 95
8 39 87
41 14 22
44 34 87
17 10 2
14 32 18
7 21 37
0	
